player,next_year_signed,Actual_APY,Pred_APY,Actual_Years,Pred_Years,Actual_Guar,Pred_Guar,APY_Error,position
Noah Brown,2025,3.51,2.55,1,1.1,2.47,0.33,-0.96,WR
Ashton Dulin,2025,3.51,2.41,2,1.5,2.94,0.59,-1.1,WR
Kalif Raymond,2026,3.5,2.89,1,1.3,3.0,0.64,-0.61,WR
Noah Brown,2023,3.48,3.59,1,1.5,2.25,1.27,0.11,WR
Cedrick Wilson Jr.,2024,3.39,2.52,2,1.1,2.85,0.51,-0.87,WR
Mack Hollins,2023,3.35,6.62,1,1.8,0.91,3.13,3.27,WR
Keenan Allen,2025,3.26,17.92,1,2.5,2.26,9.0,14.66,WR
Mike Williams,2025,3.24,2.45,1,1.0,3.0,0.39,-0.79,WR
Trent Sherfield,2025,3.24,1.97,2,1.1,3.25,0.4,-1.27,WR
Nick Westbrook-Ikhine,2025,3.23,3.89,2,1.0,3.2,1.0,0.66,WR
Mack Hollins,2024,3.07,2.07,1,1.0,1.1,0.42,-1.0,WR
Zach Pascal,2023,3.01,2.09,2,1.2,1.5,0.57,-0.92,WR
Darnell Mooney,2026,3.0,6.09,1,1.4,3.0,3.42,3.09,WR
Christian Kirk,2026,3.0,5.61,1,1.4,2.78,1.36,2.61,WR
Josh Reynolds,2025,2.97,2.01,1,1.0,2.0,0.39,-0.96,WR
KhaDarel Hodge,2025,2.97,1.47,2,1.0,2.5,0.16,-1.5,WR
Ray-Ray McCloud,2024,2.95,2.7,2,1.3,2.12,0.43,-0.25,WR
Tyler Boyd,2024,2.83,15.79,1,2.2,1.2,6.79,12.96,WR
Justin Watson,2025,2.7,2.64,2,1.2,3.0,0.84,-0.06,WR
Allen Lazard,2025,2.7,4.44,1,1.4,1.75,2.12,1.74,WR
Tim Patrick,2025,2.7,2.99,1,1.2,2.5,0.6,0.29,WR
Elijah Moore,2025,2.7,3.3,1,1.5,2.5,2.21,0.6,WR
Zay Jones,2024,2.65,3.57,1,1.2,1.15,1.25,0.92,WR
Marquez Valdes-Scantling,2024,2.65,4.05,1,1.6,2.25,2.08,1.4,WR
Zay Jones,2025,2.59,1.55,1,1.1,1.3,0.28,-1.04,WR
Braxton Berrios,2024,2.54,2.14,1,1.1,1.2,0.42,-0.4,WR
