player,next_year_signed,Actual_APY,Pred_APY,Actual_Years,Pred_Years,Actual_Guar,Pred_Guar,APY_Error,position
Ko Kieft,2026,1.65,1.72,1,1.5,0.6,0.15,0.07,TE
Trevon Wesco,2023,1.65,2.14,1,1.4,0.35,0.83,0.49,TE
Albert Okwuegbunam,2024,1.65,2.36,1,1.6,0.72,0.92,0.71,TE
O.J. Howard,2023,1.65,3.04,1,1.4,0.45,0.78,1.39,TE
Drew Sample,2023,1.65,2.39,1,1.5,0.05,0.76,0.74,TE
Nate Adkins,2026,1.64,1.94,1,1.4,0.3,0.32,0.3,TE
Ian Thomas,2025,1.64,1.69,1,1.2,0.57,0.19,0.05,TE
MyCole Pruitt,2023,1.63,2.68,1,1.3,0.0,1.45,1.05,TE
Nick Vannett,2023,1.63,1.89,1,1.2,0.25,0.26,0.26,TE
Chris Manhertz,2024,1.62,2.17,1,1.3,0.12,0.37,0.55,TE
C.J. Uzomah,2024,1.62,4.45,1,1.3,0.72,1.5,2.83,TE
John FitzPatrick,2025,1.62,1.2,1,1.2,0.12,-0.04,-0.42,TE
Dan Arnold,2023,1.59,3.92,1,1.5,0.05,1.19,2.33,TE
Ross Dwelley,2025,1.53,1.82,1,1.2,0.0,0.1,0.29,TE
Ian Thomas,2024,1.53,2.48,1,1.3,1.3,0.69,0.95,TE
Chris Manhertz,2025,1.53,1.73,1,1.1,0.57,0.1,0.2,TE
Eric Saubert,2024,1.52,1.21,1,1.2,0.47,-0.07,-0.31,TE
Josiah Deguara,2024,1.52,2.61,1,1.4,0.02,0.74,1.09,TE
Irv Smith Jr.,2024,1.52,3.46,1,1.6,0.38,2.19,1.94,TE
Tanner Hudson,2024,1.52,3.77,1,1.1,0.17,0.28,2.25,TE
Ross Dwelley,2024,1.52,1.82,1,1.2,0.1,-0.01,0.3,TE
Johnny Mundt,2026,1.5,2.45,1,1.4,0.75,0.48,0.95,TE
MyCole Pruitt,2024,1.49,2.38,1,1.2,0.0,0.7,0.89,TE
Chris Manhertz,2026,1.49,1.86,1,1.2,0.26,-0.01,0.37,TE
Andrew Beck,2026,1.49,1.69,1,1.2,1.26,0.1,0.2,TE
Pharaoh Brown,2025,1.46,1.97,1,1.3,0.02,0.34,0.51,TE
Stone Smartt,2025,1.46,2.01,1,1.5,0.25,0.21,0.55,TE
Tommy Sweeney,2023,1.45,1.98,1,1.6,0.0,0.43,0.53,TE
Mason Schreck,2023,1.45,1.28,1,1.2,0.0,-0.11,-0.17,TE
Anthony Firkser,2023,1.45,1.63,1,1.2,0.0,0.2,0.18,TE
Tanner Hudson,2023,1.45,1.93,1,1.2,0.0,0.3,0.48,TE
Pharaoh Brown,2023,1.45,2.63,1,1.3,0.0,0.36,1.18,TE
Kenny Yeboah,2025,1.44,1.9,1,1.2,0.48,0.56,0.46,TE
Jack Stoll,2025,1.44,1.16,1,1.1,0.07,-0.01,-0.28,TE
Andrew Beck,2025,1.44,1.24,1,1.1,0.17,-0.02,-0.2,TE
Nick Vannett,2024,1.43,1.52,1,1.2,0.0,0.13,0.09,TE
Geoff Swaim,2024,1.43,1.93,1,1.4,0.0,0.22,0.5,TE
Logan Thomas,2024,1.43,8.44,1,1.9,0.3,2.16,7.01,TE
Lucas Krull,2026,1.43,1.17,1,1.2,0.1,-0.02,-0.26,TE
Kylen Granson,2026,1.4,1.58,1,1.2,0.62,0.12,0.18,TE
Tyler Davis,2023,1.39,1.84,1,1.3,0.0,0.29,0.45,TE
Mitchell Wilcox,2023,1.39,2.06,1,1.2,0.02,0.27,0.67,TE
Marcedes Lewis,2025,1.35,2.23,1,1.2,0.0,0.49,0.88,TE
Sean McKeon,2023,1.35,1.1,1,1.1,0.0,-0.05,-0.25,TE
Ben Ellefson,2023,1.35,1.87,1,1.3,0.0,0.06,0.52,TE
Chris Myarick,2023,1.35,1.64,1,1.2,0.0,0.2,0.29,TE
Tanner Hudson,2026,1.35,2.06,1,1.2,0.05,0.36,0.71,TE
Nick Vannett,2025,1.35,2.86,1,1.3,0.0,1.09,1.51,TE
Jordan Matthews,2025,1.35,1.35,1,1.2,0.0,-0.04,0.0,TE
Kaden Smith,2023,1.35,1.26,1,1.5,0.0,0.68,-0.09,TE
Kendall Blanton,2023,1.35,1.24,1,1.4,0.0,0.01,-0.11,TE
Tanner Hudson,2025,1.35,2.06,1,1.2,0.0,0.57,0.71,TE
Tyree Jackson,2023,1.34,1.07,2,1.2,0.0,-0.05,-0.27,TE
Hayden Hurst,2024,1.33,6.91,1,1.8,0.0,3.44,5.58,TE
Robert Tonyan,2024,1.33,2.59,1,1.3,0.15,0.6,1.26,TE
Jesper Horsted,2024,1.33,1.3,1,1.2,0.0,0.07,-0.03,TE
Ben Sims,2026,1.33,1.2,1,1.2,0.19,-0.13,-0.13,TE
Sean McKeon,2024,1.33,1.26,1,1.2,0.0,0.01,-0.07,TE
Kevin Rader,2024,1.33,1.34,1,1.1,0.0,0.01,0.01,TE
Jack Stoll,2026,1.32,1.26,1,1.1,0.0,-0.01,-0.06,TE
Jack Stoll,2024,1.3,1.71,1,1.2,0.33,0.31,0.41,TE
Tyler Conklin,2026,1.3,1.88,1,1.3,0.0,0.56,0.58,TE
Harrison Bryant,2025,1.29,2.16,1,1.3,0.78,0.39,0.87,TE
Stone Smartt,2026,1.29,1.68,1,1.2,0.22,0.39,0.39,TE
Mitchell Wilcox,2024,1.27,2.0,1,1.2,0.02,0.19,0.73,TE
Jody Fortson,2023,1.26,2.08,1,1.2,0.0,0.36,0.82,TE
Parker Hesse,2023,1.26,1.98,1,1.5,0.0,0.31,0.72,TE
Josiah Deguara,2025,1.26,1.49,1,1.2,0.0,0.09,0.23,TE
Stephen Sullivan,2023,1.26,1.95,1,1.5,0.0,0.21,0.69,TE
Shane Zylstra,2023,1.26,1.82,1,1.2,0.0,0.48,0.56,TE
Brock Wright,2023,1.26,2.74,1,1.3,0.0,1.53,1.48,TE
Miller Forristall,2023,1.26,1.06,1,1.2,0.0,-0.04,-0.2,TE
Quintin Morris,2025,1.24,1.43,1,1.1,0.36,0.1,0.19,TE
Stephen Sullivan,2024,1.24,1.78,1,1.3,0.0,0.53,0.54,TE
Albert Okwuegbunam,2026,1.22,1.58,1,1.2,0.0,0.13,0.36,TE
Shane Zylstra,2025,1.19,1.2,1,1.4,0.0,0.01,0.01,TE
Jelani Woods,2026,1.18,1.17,1,1.2,0.0,0.0,-0.01,TE
Brayden Willis,2025,1.17,1.11,2,1.2,0.0,-0.05,-0.06,TE
Jake Tonges,2023,1.17,0.85,1,1.2,0.0,-0.05,-0.32,TE
Noah Togiai,2023,1.17,1.09,1,1.2,0.0,-0.01,-0.08,TE
Tommy Hudson,2023,1.17,1.18,1,1.2,0.0,-0.09,0.01,TE
Teagan Quitoriano,2024,1.16,1.67,1,1.5,0.0,0.5,0.51,TE
David Wells,2024,1.16,1.42,1,1.1,0.0,0.06,0.26,TE
Peyton Hendershot,2024,1.16,1.3,1,1.3,0.0,0.01,0.14,TE
Quintin Morris,2024,1.16,1.28,1,1.1,0.0,0.05,0.12,TE
Nick Muse,2024,1.16,1.81,1,1.9,0.0,0.36,0.65,TE
John FitzPatrick,2024,1.16,1.66,1,1.4,0.0,0.36,0.5,TE
Rodney Williams II,2024,1.15,0.89,2,1.2,0.0,-0.03,-0.26,TE
Blake Whiteheart,2026,1.14,1.27,1,1.2,0.0,0.04,0.13,TE
Blake Whiteheart,2025,1.11,1.19,1,1.2,0.0,-0.04,0.08,TE
Greg Dulcich,2025,1.11,1.47,1,1.3,0.0,0.09,0.36,TE
Josh Whyle,2025,1.11,6.18,1,2.1,0.0,2.7,5.07,TE
Lucas Krull,2025,1.11,1.86,1,1.2,0.0,0.52,0.75,TE
Tucker Fisk,2025,1.11,1.44,1,1.2,0.0,-0.01,0.33,TE
Zach Davidson,2025,1.1,1.14,2,1.2,0.01,0.02,0.04,TE
Cam Grandy,2026,1.08,1.65,1,1.2,0.0,0.22,0.57,TE
Jack Westover,2026,1.08,1.11,1,1.2,0.0,-0.0,0.03,TE
Tucker Fisk,2024,1.08,1.23,1,1.3,0.0,0.06,0.15,TE
Brenden Bates,2026,1.08,1.23,1,1.1,0.0,0.04,0.15,TE
Zaire Mitchell-Paden,2026,1.06,1.22,2,1.1,0.0,-0.0,0.16,TE
Cam Grandy,2025,1.06,1.18,1,1.1,0.0,-0.03,0.12,TE
Jelani Woods,2025,1.04,7.75,1,3.1,0.0,3.76,6.71,TE
Brenden Bates,2025,1.04,1.1,1,1.2,0.0,0.02,0.06,TE
Cole Fotheringham,2024,0.94,1.34,1,1.2,0.0,0.06,0.4,TE
Baylor Cupp,2025,0.91,0.96,1,1.2,0.0,-0.03,0.05,TE
Drake Dabney,2026,0.88,0.83,1,1.2,0.0,-0.04,-0.05,TE
Sal Cannella,2026,0.88,1.16,1,1.1,0.0,-0.22,0.28,TE
Andrew Beck,2024,0.6,2.61,1,1.4,0.0,0.85,2.01,TE
Donald Parham,2024,0.45,5.67,1,1.9,0.0,3.29,5.22,TE
Zach Ertz,2023,0.39,7.17,1,1.8,0.0,2.06,6.78,TE
Stephen Anderson,2023,0.39,1.46,1,1.2,0.0,-0.05,1.07,TE
Devin Asiasi,2023,0.39,1.48,1,1.3,0.0,-0.0,1.09,TE
Trevon Wesco,2024,0.36,1.81,1,1.3,0.0,0.32,1.45,TE
E.J. Jenkins,2025,0.34,1.39,1,1.1,0.0,-0.02,1.05,TE
Jordan Akins,2025,0.34,5.31,1,1.5,0.0,2.53,4.97,TE
James Mitchell,2024,0.32,1.73,1,1.6,0.0,0.76,1.41,TE
Tyler Mabry,2023,0.29,1.28,1,1.2,0.0,0.03,0.99,TE
Tre' McKitty,2023,0.29,1.64,1,1.5,0.0,0.46,1.35,TE
Cole Turner,2024,0.27,1.51,1,1.2,0.0,0.09,1.24,TE
Armani Rogers,2024,0.27,1.64,1,1.3,0.0,0.18,1.37,TE
Jaheim Bell,2025,0.25,0.84,1,1.3,0.0,-0.05,0.59,TE
Ian Thomas,2026,0.0,2.03,1,1.2,0.0,0.16,2.03,TE
Feleipe Franks,2026,0.0,1.69,1,1.2,0.0,0.14,1.69,TE
